NanogKO_0h_1 NanogKO_0h_2 NanogKO_0h_3 NanogKO_12h_1 NanogKO_12h_2 NanogKO_12h_3 NanogKO_24h_1 NanogKO_24h_2 NanogKO_24h_3 WT_0h_1 WT_0h_2 WT_12h_1 WT_12h_2 WT_12h_3 WT_24h_1 WT_24h_2 WT_24h_3
Gm17644 0 0 0 1 2 0 1 0 0 0 0 0 1 0 0 0 0
Sulf1 456 431 573 464 471 309 773 481 288 956 1800 1526 550 381 1155 1348 1706
Slco5a1 52 77 85 46 45 23 29 25 16 145 281 236 91 65 66 94 124
Prdm14 122 171 181 52 54 25 49 15 13 415 690 586 205 153 244 307 394
Ncoa2 981 914 1212 952 821 512 776 512 324 695 1392 1943 689 516 821 1052 1187
Tram1 1700 1546 1809 1493 1370 844 1683 1004 700 1318 2666 2668 862 733 1288 1773 1910
Lactb2 2377 2386 2803 1357 1313 781 1899 1186 778 976 1614 1633 550 410 1091 1446 1666
Xkr9 6 12 13 10 6 4 8 5 2 1 3 1 0 0 0 3 0
Gm5523 28 33 39 20 27 20 30 14 25 26 28 34 13 8 25 25 27
Eya1 106 85 110 74 62 29 55 40 14 45 79 77 27 20 25 49 75
Msc 26 37 57 22 26 14 12 10 8 77 160 391 121 87 95 88 106
Trpa1 20 18 21 15 7 9 13 10 2 15 30 76 18 14 46 35 37
Kcnb2 0 0 1 0 0 0 0 1 0 0 0 7 0 0 2 0 2
Terf1 2923 2849 3368 2117 1982 1216 2305 1554 1052 2308 3840 4599 1535 1160 2320 2994 3416
Sbspon 4 7 8 11 15 8 9 4 3 3 8 9 9 5 2 12 11
4930444P10Rik 0 2 1 0 5 4 0 0 2 1 3 8 1 1 2 1 3
Rpl7 26029 24283 28578 22207 19152 12660 23022 14927 10966 23018 33068 40604 13536 10487 22756 26598 30108
Rdh10 238 226 269 233 225 138 312 166 124 342 685 870 304 219 341 391 474
Stau2 151 139 157 88 61 40 74 58 35 129 194 207 76 49 124 132 183
Ube2w 377 379 462 314 293 169 358 231 127 331 531 689 226 202 392 465 568
Tceb1 1974 1935 2318 2084 2038 1137 2381 1659 1241 1901 2868 3604 1110 862 2462 2972 3097
D030040B21Rik 0 0 1 4 3 0 3 4 1 2 2 5 0 0 2 0 3
Tmem70 428 389 494 320 301 206 449 311 192 420 689 729 274 165 439 489 657
Ly96 17 7 17 7 9 6 11 7 5 3 11 11 10 3 7 6 17
Jph1 140 166 196 161 127 105 221 147 95 60 135 147 64 56 137 130 195
Gdap1 6 0 4 8 4 3 2 4 0 3 5 10 2 2 4 4 7
Pi15 3 8 7 37 48 24 39 31 32 6 7 60 31 9 18 29 38
Crispld1 35 32 18 38 21 17 24 25 16 22 34 57 18 11 33 53 66
Crisp4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Defb44-ps 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Defb18 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
Defb41 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0
Gm15386 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
Tfap2d 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1
Tfap2b 1 0 2 0 0 2 2 3 2 7 18 43 8 5 18 26 38
Pkhd1 34 23 30 39 36 21 31 27 9 19 11 76 21 13 33 37 41
4930486I03Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
Mir206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Mir133b 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Il17a 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Il17f 5 7 4 12 9 6 1 2 0 3 2 8 2 2 1 6 0
Mcm3 8235 8180 9956 8511 8014 5359 10520 6842 4901 6329 10367 15114 5218 3877 9010 10301 11678
6720483E21Rik 6 0 2 2 0 0 1 0 0 3 1 0 0 0 0 0 0
Paqr8 90 80 94 62 60 37 82 44 24 39 103 109 35 23 63 53 76
Efhc1 38 35 55 31 39 16 31 19 15 9 42 77 22 21 34 36 36
Tram2 74 64 92 70 69 57 75 47 17 55 129 157 50 51 74 71 95
Tmem14a 60 55 78 53 57 26 58 42 26 47 81 72 41 19 56 79 93
Gsta3 14 20 18 35 40 27 68 35 35 80 134 198 65 55 104 137 175
Gm4956 1 0 1 2 0 0 0 1 0 0 0 2 1 1 2 1 2
Khdc1a 10 12 15 12 8 9 9 7 5 4 10 11 2 1 5 7 7
Khdc1c 6 7 11 9 4 6 4 3 2 2 10 7 1 1 3 5 4
Khdc1b 2 0 1 3 2 1 1 0 2 0 1 3 1 0 0 1 0
Kcnq5 17 13 14 5 6 8 19 9 5 16 45 25 3 6 10 14 13
Rims1 27 34 30 22 23 9 11 11 5 71 122 117 37 38 49 63 93
4933415F23Rik 1 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0
Mir30a 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Mir30c-2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Ogfrl1 229 188 202 239 266 138 317 167 134 128 273 370 111 97 243 329 310
B3gat2 12 10 8 10 10 3 14 3 2 4 12 17 5 2 6 16 13
Smap1 787 764 950 610 578 395 626 413 307 547 1066 1204 393 315 622 826 930
1110058L19Rik 201 194 237 178 166 111 183 132 90 173 230 356 115 78 199 253 324
Fam135a 419 446 551 485 450 274 525 365 202 424 750 948 346 259 494 726 831
Col9a1 4 6 6 10 13 7 4 7 3 8 11 16 5 3 6 15 13
Col19a1 0 0 1 2 1 0 2 0 0 1 1 7 0 0 0 1 0
Lmbrd1 362 362 404 377 289 204 321 243 145 248 455 576 183 144 267 320 393
Bai3 7 5 2 4 1 4 5 3 2 4 5 13 7 3 9 13 8
Gm20172 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
4931408C20Rik 0 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm597 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Mir6342 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Phf3 3545 3558 4474 5154 4795 3085 4501 3036 1773 1963 3923 7936 2537 2042 3239 4196 4942
Ptp4a1 42 40 40 176 148 107 134 90 82 55 110 205 50 54 76 131 144
Gm13363 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4931428L18Rik 5 0 0 1 0 0 1 0 0 0 0 3 2 0 0 0 0
Lgsn 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1
Pih1d3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
Gm4850 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
Khdrbs2 1 0 1 0 1 0 2 0 0 1 0 5 0 0 0 0 1
Gm9839 0 1 3 2 1 1 6 2 3 0 1 4 0 3 2 0 0
Gm5415 0 0 2 1 1 1 6 3 2 0 1 5 2 3 2 1 2
Prim2 1200 1285 1403 1211 1140 634 1447 979 622 773 1072 1611 553 429 1039 1286 1428
1700001G17Rik 3 2 2 5 0 2 7 4 0 0 2 5 2 1 2 4 8
Rab23 887 874 1077 1104 1085 681 1200 787 513 700 1240 2051 754 561 1058 1276 1424
Bag2 254 200 249 181 169 99 265 127 115 298 565 351 107 109 177 152 198
Zfp451 1089 1059 1340 1124 1078 709 1276 821 483 733 1263 2212 682 580 1221 1594 1763
Gm15455 338 385 371 504 447 282 526 359 236 340 623 845 303 236 556 637 672
Bend6 32 26 35 38 17 11 35 24 17 33 37 69 29 13 39 53 57
Dst 2114 2184 2597 4424 4068 2730 5019 3291 1828 1745 2680 8593 2961 2380 3633 4804 5540
Mir6896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Mir5103 0 1 0 0 0 0 1 0 0 0 2 0 0 0 0 0 0
Ccdc115 1070 1081 1221 1067 1096 662 1068 734 597 675 1017 1390 437 348 817 864 1015
Imp4 1625 1632 1933 1946 1812 1260 2429 1663 1129 1159 1852 3017 1110 776 1850 2116 2449
Ptpn18 15 24 23 32 24 24 66 51 35 11 22 35 6 10 48 41 39
Prss39 0 0 0 1 0 2 0 2 2 0 0 0 0 0 1 1 2
Cfc1 5 0 0 23 10 4 16 4 11 19 33 43 16 5 17 20 24
Prss40 0 0 0 1 0 0 1 0 0 3 2 1 1 0 0 1 0
Amer3 0 0 0 2 1 1 2 0 1 1 7 2 2 0 1 3 2
AA619741 0 1 0 0 0 0 3 4 0 0 0 1 0 0 0 0 0
Arhgef4 55 63 81 89 64 52 87 63 52 45 84 129 60 28 61 72 92
Fam168b 2004 1925 2533 2573 2354 1476 2491 1557 1027 1985 3645 4684 1557 1115 2154 2582 3174
Plekhb2 405 377 452 411 394 235 326 184 142 353 600 820 286 226 361 436 510
Mir7669 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Hs6st1 2826 2737 3401 2107 1852 1248 1698 1122 809 1536 2858 3614 1285 974 1855 1943 2273
Uggt1 2455 2435 2969 2610 2443 1528 2774 1806 1126 1606 2949 4302 1501 1063 2053 2639 3084
Mir6897 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Neurl3 4 3 7 4 2 2 6 5 2 2 8 3 4 3 9 8 12
Arid5a 56 60 68 75 79 48 93 73 43 60 97 207 66 51 115 123 133
Kansl3 826 858 1028 1310 1233 821 1305 877 592 666 1254 2284 776 590 1105 1365 1579
Mir6898 0 0 1 0 0 0 2 1 0 0 0 0 0 0 0 0 0
Fer1l5 28 25 37 20 33 13 16 9 10 33 73 54 27 24 34 52 51
Lman2l 303 295 371 306 327 189 346 228 173 253 463 549 213 153 334 387 475
Cnnm4 117 124 152 158 112 86 144 112 77 121 266 304 97 84 140 177 224
Cnnm3 463 427 534 563 531 296 619 396 282 386 841 1083 423 272 595 677 808
Ankrd23 46 52 68 33 51 28 58 30 24 58 88 59 20 12 48 44 46
Ankrd39 148 150 193 138 135 72 155 103 69 117 168 210 69 70 169 163 147
Sema4c 557 518 632 415 433 286 484 296 216 459 924 1082 422 278 587 665 742
Fam178b 333 340 454 304 267 166 388 267 220 139 200 359 133 94 260 292 300
Cox5b 4354 4283 5418 2863 2724 1718 3495 2682 1831 2529 4623 5012 1706 1074 2551 2763 3538
Actr1b 1877 1779 2199 2019 2028 1331 2252 1445 1108 1698 2978 4056 1539 1041 2461 2474 2855
4933424G06Rik 0 0 1 0 0 0 2 1 0 4 2 0 0 1 1 0 0
Zap70 136 116 136 56 51 45 51 35 45 65 101 61 25 14 49 63 53
Tmem131 3073 2958 3837 3160 2853 1992 3297 2194 1333 1844 3892 5337 1963 1512 3025 3751 4488
Cnga3 216 201 262 216 202 154 200 137 120 25 49 142 54 55 78 86 96
Inpp4a 183 160 210 187 169 130 188 120 78 112 239 397 139 95 202 270 296
Coa5 1558 1473 1792 1842 1645 1040 2083 1340 882 1465 2584 3035 986 826 1671 2052 2379
Unc50 674 614 738 506 472 339 472 366 222 443 731 894 325 255 478 551 662
Mgat4a 169 177 190 221 196 103 272 214 105 184 327 413 151 97 182 268 310
4930594C11Rik 1 6 4 8 7 4 6 6 2 11 4 7 1 3 8 8 4
2010300C02Rik 13 22 34 33 31 22 48 48 22 19 63 50 18 11 19 22 27
Tsga10 35 44 45 35 32 15 35 29 13 31 60 65 13 14 28 42 50
Lipt1 82 87 93 118 90 67 104 89 45 99 142 232 98 82 130 140 150
Mitd1 377 378 406 319 308 203 370 288 175 262 364 540 183 148 312 450 465
Mrpl30 848 813 1034 847 712 485 918 608 486 718 1131 1260 429 356 785 902 1055
Lyg2 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Lyg1 0 0 1 2 1 0 0 0 0 0 0 1 0 0 0 1 0
Txndc9 1541 1480 1754 1428 1349 798 1631 1106 737 1223 1761 2496 864 645 1207 1605 1842
Eif5b 4497 4290 5374 4648 4473 2715 5243 3388 2177 2917 5747 7240 2507 1866 3932 5382 6523
Rev1 811 800 1036 874 868 558 1110 728 431 583 1060 1648 550 448 854 1142 1238
Aff3 317 268 329 315 276 195 541 383 225 72 177 247 84 53 151 190 286
Lonrf2 14 16 11 5 3 7 15 2 1 12 50 66 20 8 18 35 40
Chst10 38 32 66 53 40 32 99 68 52 101 129 264 101 79 145 195 216
Nms 1 0 0 0 0 0 1 0 0 0 0 0 2 1 2 1 0
Pdcl3 1726 1709 1887 1609 1420 852 1398 1026 663 1163 1737 2580 852 644 1134 1397 1684
Mir6349 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Npas2 15 13 20 35 26 17 18 14 11 16 19 21 7 8 10 5 5
Rpl31 15962 15528 17578 15318 13863 9058 15674 10281 8699 14361 22001 26406 9098 6668 16695 18015 20206
Tbc1d8 322 336 408 462 455 262 344 211 171 200 378 681 210 182 283 388 427
Cnot11 1208 1271 1391 1264 1151 706 1139 762 554 1045 2128 2389 856 588 1131 1332 1581
Snord89 3 2 6 16 5 2 13 4 2 0 0 17 4 4 2 16 9
Rnf149 844 763 1059 972 878 563 951 619 430 708 1374 2037 677 537 1054 1333 1491
Creg2 13 7 21 26 18 14 20 15 7 8 11 21 8 2 12 12 13
Rfx8 3 2 2 1 1 1 4 5 1 2 4 6 2 3 6 5 3
Gm3646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1700066B17Rik 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 2 0
Map4k4 5675 5867 7285 5516 5288 3355 5388 3566 2417 4977 9445 12523 4466 3306 5296 6661 7956
Gm16894 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
Il1r2 20 18 27 14 14 9 25 27 10 6 4 10 4 1 8 15 11
Il1r1 37 31 62 57 62 36 44 25 36 17 45 29 19 6 9 24 22
Il1rl2 6 6 9 8 6 4 5 4 5 1 10 11 1 3 3 1 8
Il1rl1 202 264 307 78 76 88 12 8 17 143 276 149 58 41 1 1 13
Il18r1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
Il18rap 4 5 1 4 9 1 5 3 3 0 8 11 7 3 5 8 11
Slc9a4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0
Slc9a2 1 0 1 3 2 1 3 0 0 0 2 5 0 1 2 3 4
Mfsd9 51 43 64 29 36 18 40 19 18 47 58 83 31 16 34 47 66
Tmem182 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0
4930448I06Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Pou3f3os 0 0 1 1 0 0 0 0 0 0 4 1 0 2 3 4 2
Pou3f3 2 8 11 6 6 4 5 5 7 8 18 16 3 8 15 11 21
2900092D14Rik 0 1 0 0 1 0 1 0 0 3 0 2 1 0 1 1 1
2610207O16Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Mrps9 1040 916 1097 1017 876 567 1164 747 529 805 1247 1730 582 423 1000 1283 1521
Gpr45 0 1 0 1 0 0 0 1 0 0 2 0 1 0 0 1 0
Tgfbrap1 263 219 311 293 218 166 285 205 131 205 432 424 154 112 177 220 278
AI597479 528 514 607 444 458 241 540 331 225 403 720 848 324 227 545 712 785
Fhl2 309 267 344 147 143 75 136 62 62 123 226 344 117 85 132 168 178
Nck2 622 681 690 533 403 314 400 320 228 546 1069 1160 420 306 583 572 771
1500015O10Rik 3 2 8 7 3 1 2 5 0 5 1 1 1 1 5 1 2
Uxs1 440 379 518 480 425 307 551 364 268 365 606 929 336 230 469 614 660
Tpp2 2366 2327 3016 2374 2237 1418 3066 1848 1103 1668 2902 3877 1330 1029 2096 2977 3352
Mettl21c 0 0 1 0 0 1 1 0 0 0 2 0 0 0 1 0 0
Tex30 580 569 718 619 616 371 820 522 353 459 742 975 300 255 679 917 1065
Kdelc1 448 342 533 501 482 288 583 421 279 424 775 793 292 243 492 638 709
Bivm 303 322 378 318 300 161 329 210 163 233 460 447 181 131 218 336 414
Ercc5 801 794 1071 815 759 489 937 567 400 589 947 1331 451 327 609 793 916
Mettl21e 0 0 1 0 0 2 0 1 0 0 0 1 0 1 1 1 3
Gulp1 36 34 38 26 22 18 37 42 13 84 99 101 41 36 65 93 117
4930521E06Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
Col3a1 3201 3390 4283 1732 1742 1289 868 456 536 2443 4318 5708 2098 1506 2907 3263 3919
Col5a2 801 927 1159 679 624 469 461 242 269 937 1765 2594 880 666 966 1185 1514
Wdr75 2785 2535 3051 3255 2997 1928 4074 2623 1785 2105 3624 5331 1763 1340 3189 4086 4679
Slc40a1 155 141 137 339 273 191 549 287 220 376 699 787 227 210 397 538 663
Gm4776 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Dnah7b 16 5 31 28 33 19 25 19 14 16 28 60 31 13 27 36 31
Slc39a10 2263 2219 2687 1781 1730 1055 2363 1437 899 2618 4905 3878 1379 1014 2497 3492 3733
Mir6350 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tmeff2 5 10 5 18 8 7 26 9 12 4 13 45 19 19 34 42 50
9330175M20Rik 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0
Sdpr 31 15 35 5 3 1 7 2 2 14 25 1 0 0 0 5 5
Nabp1 1584 1614 1878 1032 973 643 1458 964 668 806 1444 2209 662 512 1139 1529 1727
Myo1b 1246 1214 1526 1080 941 649 1200 736 540 1111 1849 2212 802 546 1162 1515 1824
Stat4 60 55 100 140 101 61 89 83 29 74 141 516 159 141 177 244 319
Stat1 249 268 353 236 231 162 266 182 114 159 278 391 146 77 225 320 304
Gls 2072 2268 2579 1082 971 601 1257 926 511 1321 2275 1715 593 453 1037 1398 1558
Nab1 400 439 577 370 324 214 308 192 108 294 603 554 206 154 291 411 443
Tmem194b 180 148 203 184 161 100 166 135 107 126 215 365 118 103 198 246 289
Mfsd6 45 28 37 35 34 21 31 19 15 30 55 100 27 18 34 39 59
Inpp1 33 36 38 59 60 31 36 30 31 46 84 162 63 45 83 80 97
Hibch 212 208 225 299 250 153 330 233 167 163 265 466 152 128 263 356 403
1700019D03Rik 301 300 387 432 424 237 544 328 243 82 203 472 151 106 288 405 426
Mstn 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
1700019A02Rik 27 23 26 33 27 31 41 37 20 19 32 48 15 13 64 69 43
Pms1 427 410 539 420 380 246 535 374 196 342 542 723 217 206 442 576 680
Ormdl1 529 478 549 430 422 266 475 316 193 415 546 712 224 173 420 553 590
Osgepl1 192 191 222 176 142 90 180 121 85 151 279 244 74 57 131 196 209
Asnsd1 1458 1570 1749 1395 1296 807 1705 1213 729 1248 2123 2818 876 671 1605 2005 2357
Dnah7a 5 7 19 29 21 15 15 21 11 9 24 54 28 16 29 35 36
Stk17b 804 770 1002 938 816 507 962 620 448 350 443 1002 299 240 559 718 809
Hecw2 91 83 115 177 167 86 128 110 69 46 95 325 113 81 180 240 269
Mir7681 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ccdc150 18 12 22 17 36 15 29 22 12 13 13 20 11 4 8 11 24
Gtf3c3 869 863 1106 1068 963 619 1007 686 450 575 1116 1489 486 401 877 1111 1277
Pgap1 428 407 550 927 865 501 1085 691 405 291 491 1325 441 330 1066 1445 1482
Ankrd44 212 212 216 87 82 68 64 59 29 63 108 99 32 34 44 68 95
Sf3b1 8957 9219 11068 9681 8746 5578 9481 6177 3904 6014 10838 14441 4764 3648 6605 9328 10361
Coq10b 356 347 421 347 303 207 397 264 170 310 506 685 218 176 338 443 474
Hspd1 22785 21484 26357 26586 24991 15686 36482 23578 16111 16919 25409 37179 12262 9740 25978 33974 36910
Hspe1 6480 6161 7248 7428 6645 4343 9322 6170 4738 5076 7607 10160 3673 2683 7424 8358 9506
Mob4 992 899 1212 893 845 508 1099 736 423 839 1126 1843 581 444 1082 1500 1650
Rftn2 76 82 86 59 82 56 61 48 28 54 91 113 41 41 93 70 94
Mars2 284 269 300 247 239 170 297 225 145 171 261 488 167 109 229 295 360
Boll 5 9 15 5 3 1 4 4 6 16 12 17 6 3 19 12 24
Plcl1 13 10 9 8 9 5 14 6 4 14 26 33 12 11 13 14 34
9130227L01Rik 0 2 0 0 1 0 0 4 0 0 2 5 2 0 0 1 8
Hsfy2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Satb2 340 330 401 175 162 96 129 109 55 56 158 158 49 40 55 68 67
9130024F11Rik 38 41 42 22 24 17 16 16 10 10 34 19 7 6 9 10 7
BC055402 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4930558J18Rik 70 70 78 37 46 27 54 37 21 31 59 68 34 24 47 57 69
1700066M21Rik 210 167 284 178 168 94 208 137 90 109 176 282 101 70 134 252 275
Tyw5 290 309 323 378 370 191 371 257 195 197 309 535 173 134 304 385 388
9430016H08Rik 577 499 583 558 549 358 609 449 322 391 603 979 320 236 544 630 681
Spats2l 116 138 167 118 144 71 123 74 46 133 229 245 79 58 124 155 172
Kctd18 294 322 379 376 318 219 280 208 135 198 372 632 224 173 296 392 378
Sgol2 3246 3212 4013 2318 2086 1283 2175 1397 865 1599 2779 3863 1284 985 1833 2519 2885
Aox1 42 37 45 70 67 33 56 28 26 13 18 90 32 19 33 38 40
Aox3 179 170 181 227 234 149 171 108 75 62 80 236 80 63 77 98 97
Aox4 27 22 19 32 45 17 52 44 13 11 11 35 12 15 45 41 36
Aox2 1 2 2 2 2 3 0 0 4 2 1 6 1 0 1 6 0
Bzw1 9889 9433 11495 9584 8840 5305 11691 7230 4835 8054 13466 16979 5525 4386 9500 12889 14220
Clk1 1068 1087 1338 1935 1638 953 2352 1449 1031 851 1289 3337 1050 849 2036 2848 2997
Ppil3 459 453 528 505 502 298 682 454 349 439 694 942 362 243 636 729 852
Nif3l1 717 669 772 818 724 516 934 652 511 666 1004 1546 524 426 921 1173 1298
Orc2 2194 2109 2531 2574 2548 1601 3668 2335 1553 1366 2238 3617 1230 968 2571 3315 3650
Fam126b 209 200 245 335 250 163 405 232 137 110 166 413 164 125 234 368 382
Ndufb3 814 838 965 785 713 389 917 601 447 639 788 1037 339 259 803 887 1091
Gm20257 6 4 2 3 3 0 4 0 1 1 5 11 5 4 3 2 6
Als2cr12 8 5 5 5 1 4 9 4 2 5 10 17 5 2 5 7 7
Cflar 171 190 224 149 149 94 142 68 55 170 310 312 137 79 156 162 199
Casp8 27 33 75 42 42 26 27 19 10 82 128 205 65 50 54 55 88
Trak2 867 860 1170 1343 1181 751 1302 850 547 528 938 1738 601 431 859 1098 1236
Stradb 173 182 203 178 145 126 122 104 82 109 222 233 95 69 102 155 209
Als2cr11 2 4 13 17 10 7 12 13 6 1 6 19 7 2 8 9 15
Tmem237 356 332 476 319 327 190 382 228 164 384 621 760 285 214 400 485 566
Mpp4 2 0 5 2 11 1 2 4 1 1 3 7 4 0 4 3 4
Als2 1583 1450 1931 2032 1867 1180 2148 1441 894 641 1169 2717 929 773 1359 1704 1980
Cdk15 6 2 8 4 2 2 0 0 1 2 0 3 0 1 1 1 5
Fzd7 1694 1740 2259 2820 2734 1764 3328 2093 1594 920 1979 2995 935 679 2267 2489 2767
Gm973 20 30 23 49 44 25 52 32 17 13 14 41 13 11 33 40 50
Sumo1 3120 3064 3438 3853 3406 2097 4199 2647 2027 2901 4167 6359 2017 1610 3523 4766 5385
Nop58 6245 6217 7427 7130 6860 4314 8851 5758 4011 5292 8937 12834 4217 3283 6837 9392 10603
Snord70 2 0 1 2 2 0 7 2 1 1 3 6 0 1 0 11 5
Snord11 2 1 2 2 0 1 0 1 1 0 0 0 1 1 0 1 0
Bmpr2 364 316 481 426 396 243 504 301 193 318 393 965 359 284 474 751 854
Fam117b 895 952 1153 536 547 321 604 440 228 815 1835 1296 429 366 615 879 1035
Ica1l 11 5 15 16 7 8 10 11 5 4 6 22 6 3 8 7 14
Wdr12 2043 1981 2411 2103 1914 1292 2940 2008 1378 1643 2425 3253 1122 861 2011 2582 3036
Carf 111 119 179 130 92 62 115 72 48 59 127 178 47 43 102 138 176
Nbeal1 288 277 330 365 335 193 433 322 135 160 167 521 189 181 343 470 470
Cyp20a1 503 507 594 297 273 177 410 249 168 394 771 694 242 191 400 511 474
